Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/result/004e0194-f266-4c7b-9b3c-8a589ff51751,1,0,352.02105099961045,352.02105099961045,352.02105099961045,352.02105099961045,16.0,0.008445459743958059,0.0,350,350,350,350,350,350,350,350,350,350,350
GET,/result/00c868ca-a9a4-4156-925b-e9f65091884b,1,0,139.501753001241,139.501753001241,139.501753001241,139.501753001241,16.0,0.008445459743958059,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/result/015439ba-86f3-47f8-842c-2e04ae0ea8c8,1,0,93.22611300012795,93.22611300012795,93.22611300012795,93.22611300012795,16.0,0.008445459743958059,0.0,93,93,93,93,93,93,93,93,93,93,93
GET,/result/01b2a8bf-0d23-4c18-b6a9-8ff9b58166c6,1,0,53.96455799927935,53.96455799927935,53.96455799927935,53.96455799927935,16.0,0.008445459743958059,0.0,54,54,54,54,54,54,54,54,54,54,54
GET,/result/025eae37-f2ee-4642-94a2-f533f41393aa,1,0,53.899922997516114,53.899922997516114,53.899922997516114,53.899922997516114,16.0,0.008445459743958059,0.0,54,54,54,54,54,54,54,54,54,54,54
GET,/result/02616140-c57c-40fb-9989-a690e9b7680e,1,0,894.3579160004447,894.3579160004447,894.3579160004447,894.3579160004447,16.0,0.008445459743958059,0.0,890,890,890,890,890,890,890,890,890,890,890
GET,/result/02a0e72c-050c-4ca4-b1e6-fe6f2ebb27f2,1,0,1938.7194970004202,1938.7194970004202,1938.7194970004202,1938.7194970004202,16.0,0.008445459743958059,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,/result/02da0e98-bd6c-4f5a-b1fc-03821ac4ba11,1,0,356.1135740019381,356.1135740019381,356.1135740019381,356.1135740019381,16.0,0.008445459743958059,0.0,360,360,360,360,360,360,360,360,360,360,360
GET,/result/03544b4b-d52e-4677-97c3-a24ce7c4147c,1,0,320.18700999833527,320.18700999833527,320.18700999833527,320.18700999833527,16.0,0.008445459743958059,0.0,320,320,320,320,320,320,320,320,320,320,320
GET,/result/03a87462-63ed-4926-90c4-c8002ed90701,1,0,728.6870290008665,728.6870290008665,728.6870290008665,728.6870290008665,16.0,0.008445459743958059,0.0,730,730,730,730,730,730,730,730,730,730,730
GET,/result/03ef712a-afd3-48df-9a79-73d99d938a1c,1,0,77.49287799742888,77.49287799742888,77.49287799742888,77.49287799742888,16.0,0.008445459743958059,0.0,77,77,77,77,77,77,77,77,77,77,77
GET,/result/048aef1c-a944-4c64-a039-ba1dc5d80242,1,0,32.422080999822356,32.422080999822356,32.422080999822356,32.422080999822356,16.0,0.008445459743958059,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/result/049a9e6d-c78b-4fc3-8fb0-30984137b7c5,1,0,28.00639800261706,28.00639800261706,28.00639800261706,28.00639800261706,16.0,0.008445459743958059,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/result/04e3bafe-e9e9-4e2a-a3f2-da8639b04119,1,0,308.4938130014052,308.4938130014052,308.4938130014052,308.4938130014052,16.0,0.008445459743958059,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/result/05f37b18-afcc-4345-890a-263ebef9736f,1,0,193.66078899838612,193.66078899838612,193.66078899838612,193.66078899838612,16.0,0.008445459743958059,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/result/0607e9be-b3df-4f90-9189-a674e9818c71,1,0,244.863231000636,244.863231000636,244.863231000636,244.863231000636,161.0,0.008445459743958059,0.0,240,240,240,240,240,240,240,240,240,240,240
GET,/result/06ce3d88-d00f-43ca-933a-139af2d83656,1,0,309.9150540001574,309.9150540001574,309.9150540001574,309.9150540001574,16.0,0.008445459743958059,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/result/06d97905-633a-44d9-a740-19564835ca52,1,0,433.2302049988357,433.2302049988357,433.2302049988357,433.2302049988357,16.0,0.008445459743958059,0.0,430,430,430,430,430,430,430,430,430,430,430
GET,/result/0797d2d2-0d1e-415a-9c2b-8ca127c9db8b,1,0,224.69572400223115,224.69572400223115,224.69572400223115,224.69572400223115,16.0,0.008445459743958059,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/result/0853f66c-93ea-461c-b678-13b146cbd2c7,1,0,94.80447199894115,94.80447199894115,94.80447199894115,94.80447199894115,16.0,0.008445459743958059,0.0,95,95,95,95,95,95,95,95,95,95,95
GET,/result/088850fe-f3b0-4d1f-9dac-4511bf8e3215,1,0,1401.9307599992317,1401.9307599992317,1401.9307599992317,1401.9307599992317,16.0,0.008445459743958059,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/result/08be9e3f-5395-4cc3-b32c-94225fa82fc4,1,0,1301.1347179999575,1301.1347179999575,1301.1347179999575,1301.1347179999575,16.0,0.008445459743958059,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/result/08c3252e-9363-4493-be04-9643fe8362b9,1,0,37.162595999689074,37.162595999689074,37.162595999689074,37.162595999689074,16.0,0.008445459743958059,0.0,37,37,37,37,37,37,37,37,37,37,37
GET,/result/0916628a-9271-4d8f-b2c7-0800f3ccc989,1,0,298.10795099911047,298.10795099911047,298.10795099911047,298.10795099911047,16.0,0.008445459743958059,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/result/09c5b3af-16ad-41ce-abaf-d0d483067e02,1,0,80.06947399917408,80.06947399917408,80.06947399917408,80.06947399917408,16.0,0.008445459743958059,0.0,80,80,80,80,80,80,80,80,80,80,80
GET,/result/0a395579-7fb0-400c-bc8f-4a4b56325cb9,1,0,787.1472739971068,787.1472739971068,787.1472739971068,787.1472739971068,16.0,0.008445459743958059,0.0,790,790,790,790,790,790,790,790,790,790,790
GET,/result/0a8bc88a-40c2-48f6-a314-642b3728f717,1,0,39.90002400314552,39.90002400314552,39.90002400314552,39.90002400314552,16.0,0.008445459743958059,0.0,40,40,40,40,40,40,40,40,40,40,40
GET,/result/0ba7dd09-3a60-4afa-bc80-321af5b24eb7,1,0,191.8005939987779,191.8005939987779,191.8005939987779,191.8005939987779,16.0,0.008445459743958059,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/result/0c82c701-724e-4e81-b0a3-c883d3c7bfb8,1,0,645.5606500021531,645.5606500021531,645.5606500021531,645.5606500021531,16.0,0.008445459743958059,0.0,650,650,650,650,650,650,650,650,650,650,650
GET,/result/0ca99c35-30a1-4c87-8656-39e6d1ace10f,1,0,79.32229200014262,79.32229200014262,79.32229200014262,79.32229200014262,16.0,0.008445459743958059,0.0,79,79,79,79,79,79,79,79,79,79,79
GET,/result/0cc1954a-6d8f-416f-bd22-7135a2d7c2ff,1,0,738.5773220012197,738.5773220012197,738.5773220012197,738.5773220012197,16.0,0.008445459743958059,0.0,740,740,740,740,740,740,740,740,740,740,740
GET,/result/0d7e9be3-d62a-47c7-867e-6cd33ec2a01a,1,0,226.45138499865425,226.45138499865425,226.45138499865425,226.45138499865425,16.0,0.008445459743958059,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/result/0ee60c5d-423d-4ecd-a3e7-f712d0973671,1,0,79.56655999805662,79.56655999805662,79.56655999805662,79.56655999805662,16.0,0.008445459743958059,0.0,80,80,80,80,80,80,80,80,80,80,80
GET,/result/0f8dc978-8205-4d7b-b111-2d6f94ac8756,1,0,129.14432999968994,129.14432999968994,129.14432999968994,129.14432999968994,16.0,0.008445459743958059,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/result/108bead5-6d29-4024-a278-a4812e2ba13d,1,0,149.54449200013187,149.54449200013187,149.54449200013187,149.54449200013187,16.0,0.008445459743958059,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/result/10f655fc-a1f8-4152-8d70-7658cccdc998,1,0,87.43869200043264,87.43869200043264,87.43869200043264,87.43869200043264,16.0,0.008445459743958059,0.0,87,87,87,87,87,87,87,87,87,87,87
GET,/result/110cc050-121e-4eb9-82e1-ac25832db996,1,0,271.9122550006432,271.9122550006432,271.9122550006432,271.9122550006432,16.0,0.008445459743958059,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/result/112a6976-343b-4beb-9cd1-9b997674ef18,1,0,111.33131899987347,111.33131899987347,111.33131899987347,111.33131899987347,16.0,0.008445459743958059,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/result/12558652-a847-4aec-820f-49ae5933af6b,1,0,34.65047899953788,34.65047899953788,34.65047899953788,34.65047899953788,16.0,0.008445459743958059,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/result/1291b43f-5d1c-4c2c-bba0-bd7b9a72c444,1,0,60.21664899890311,60.21664899890311,60.21664899890311,60.21664899890311,16.0,0.008445459743958059,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/result/1297132f-1131-4144-95ec-ee0c8cf9b8fb,1,0,146.67961799932527,146.67961799932527,146.67961799932527,146.67961799932527,16.0,0.008445459743958059,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/result/12ad8c48-5b53-4bee-a311-55e2917b1074,1,0,123.78134499886073,123.78134499886073,123.78134499886073,123.78134499886073,16.0,0.008445459743958059,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/result/12b8cf46-c9c4-4085-a46f-c63c59c1f9ad,1,0,352.8763060021447,352.8763060021447,352.8763060021447,352.8763060021447,16.0,0.008445459743958059,0.0,350,350,350,350,350,350,350,350,350,350,350
GET,/result/13535b87-b118-45b5-b9c6-c77a75cd021e,1,0,224.81837699888274,224.81837699888274,224.81837699888274,224.81837699888274,16.0,0.008445459743958059,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/result/138b16de-eca5-4a0e-8749-37776ecbc3f4,1,0,560.0924659993325,560.0924659993325,560.0924659993325,560.0924659993325,122.0,0.008445459743958059,0.0,560,560,560,560,560,560,560,560,560,560,560
GET,/result/13cca834-91fe-4290-a31b-e0c1d83203fc,1,0,354.8301349983376,354.8301349983376,354.8301349983376,354.8301349983376,16.0,0.008445459743958059,0.0,350,350,350,350,350,350,350,350,350,350,350
GET,/result/13e32090-f1f1-4f7c-83d1-829a0f0588e5,1,0,830.3058400015288,830.3058400015288,830.3058400015288,830.3058400015288,16.0,0.008445459743958059,0.0,830,830,830,830,830,830,830,830,830,830,830
GET,/result/1460cee7-283a-4cd5-a864-913909a5fd7f,1,0,161.2556059990311,161.2556059990311,161.2556059990311,161.2556059990311,16.0,0.008445459743958059,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/result/153aa7eb-187a-4504-9558-de753a4c2b71,1,0,93.20755600128905,93.20755600128905,93.20755600128905,93.20755600128905,16.0,0.008445459743958059,0.0,93,93,93,93,93,93,93,93,93,93,93
GET,/result/159be7c7-0a1d-4837-a393-d28b8bebda5b,1,0,43.81520500101033,43.81520500101033,43.81520500101033,43.81520500101033,16.0,0.008445459743958059,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/result/15eedfa4-c9e2-4b97-b414-63db626c976b,1,0,47.075077000044985,47.075077000044985,47.075077000044985,47.075077000044985,16.0,0.008445459743958059,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/result/162d66c7-c89a-4a3b-bdb5-ca53d0131c66,1,0,80.5279080013861,80.5279080013861,80.5279080013861,80.5279080013861,16.0,0.008445459743958059,0.0,81,81,81,81,81,81,81,81,81,81,81
GET,/result/167a4e92-3237-45e0-90fb-fb9d193dfd69,1,0,85.79603300313465,85.79603300313465,85.79603300313465,85.79603300313465,16.0,0.008445459743958059,0.0,86,86,86,86,86,86,86,86,86,86,86
