Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/result/00d9fd6f-3843-4c1d-a00f-9c4069730dbb,1,0,212.4138299986953,212.4138299986953,212.4138299986953,212.4138299986953,16.0,0.008340515818463285,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/result/01579fbd-93b8-4aba-806d-01697867f61e,1,0,720.6508369999938,720.6508369999938,720.6508369999938,720.6508369999938,20.0,0.008340515818463285,0.0,720,720,720,720,720,720,720,720,720,720,720
GET,/result/0159e413-4770-467f-8b7d-7f5230243230,1,0,1772.2752209992905,1772.2752209992905,1772.2752209992905,1772.2752209992905,161.0,0.008340515818463285,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/result/02174667-5780-410f-a39e-dc4ab7f90cad,1,0,58.62900400097715,58.62900400097715,58.62900400097715,58.62900400097715,16.0,0.008340515818463285,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/result/0254c2b7-356a-489e-9b5c-cc05815c53a9,1,0,16.855243000463815,16.855243000463815,16.855243000463815,16.855243000463815,16.0,0.008340515818463285,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/result/02cd3ae7-a729-47af-9414-4fbbd17dff2b,1,0,134.37470600183588,134.37470600183588,134.37470600183588,134.37470600183588,16.0,0.008340515818463285,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/result/0303957d-4f70-4d02-a501-4d4437bb67fa,1,0,615.4093580007611,615.4093580007611,615.4093580007611,615.4093580007611,20.0,0.008340515818463285,0.0,620,620,620,620,620,620,620,620,620,620,620
GET,/result/031661f3-c63f-4dd4-ae9d-77a36e143938,1,0,16.611078001005808,16.611078001005808,16.611078001005808,16.611078001005808,16.0,0.008340515818463285,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/result/036ef373-29fb-4bb3-b1c5-c16ab9bf40d5,1,0,190.52450899835094,190.52450899835094,190.52450899835094,190.52450899835094,20.0,0.008340515818463285,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/result/037a3fd5-8a43-46ca-8d46-044908c8fa9f,1,0,433.3913489972474,433.3913489972474,433.3913489972474,433.3913489972474,20.0,0.008340515818463285,0.0,430,430,430,430,430,430,430,430,430,430,430
GET,/result/039708b6-1f89-49ee-adcb-f0df5fc81c9d,1,0,97.69273200072348,97.69273200072348,97.69273200072348,97.69273200072348,16.0,0.008340515818463285,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/result/03ccab1f-b829-4a73-a17b-16e39725a995,1,0,649.5073929982027,649.5073929982027,649.5073929982027,649.5073929982027,16.0,0.008340515818463285,0.0,650,650,650,650,650,650,650,650,650,650,650
GET,/result/047e0ca5-22a2-44e5-8bf9-7bd7f405a8f7,1,0,544.3113809997158,544.3113809997158,544.3113809997158,544.3113809997158,16.0,0.008340515818463285,0.0,540,540,540,540,540,540,540,540,540,540,540
GET,/result/049c87f1-0c5a-40fe-afec-d3791f9107e8,1,0,661.8617309977708,661.8617309977708,661.8617309977708,661.8617309977708,16.0,0.008340515818463285,0.0,660,660,660,660,660,660,660,660,660,660,660
GET,/result/04a4a6ee-12b9-4168-8047-0b15f67e9ed5,1,0,63.73354999959702,63.73354999959702,63.73354999959702,63.73354999959702,16.0,0.008340515818463285,0.0,64,64,64,64,64,64,64,64,64,64,64
