Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/result/00023777-9611-46a0-b5ca-0f80ba757732,1,0,1058.6016250017565,1058.6016250017565,1058.6016250017565,1058.6016250017565,16.0,0.008444178649932847,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/result/00297380-1915-49c3-b13f-5b91c269ca07,1,0,1854.7232710006938,1854.7232710006938,1854.7232710006938,1854.7232710006938,16.0,0.008444178649932847,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,/result/0083aaf0-904c-4253-ab0a-c75f2c21653c,1,0,2799.6766030009894,2799.6766030009894,2799.6766030009894,2799.6766030009894,16.0,0.008444178649932847,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
GET,/result/008e243e-c5e0-44b3-8e37-892924241955,1,0,1178.8694030001352,1178.8694030001352,1178.8694030001352,1178.8694030001352,161.0,0.008444178649932847,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/result/00dc3cbc-a5a0-4047-9f3e-6d39255ebedd,1,0,36956.50251499683,36956.50251499683,36956.50251499683,36956.50251499683,16.0,0.008444178649932847,0.0,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
GET,/result/0102e9c8-42d4-41f5-810f-bf2097e3db91,1,0,233.43956399912713,233.43956399912713,233.43956399912713,233.43956399912713,16.0,0.008444178649932847,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/result/014c7d67-abf4-47d3-83ec-b9fecd3ed385,1,0,867.6899829988542,867.6899829988542,867.6899829988542,867.6899829988542,16.0,0.008444178649932847,0.0,870,870,870,870,870,870,870,870,870,870,870
GET,/result/01ec9af5-8b89-44a8-be3b-25226f6f1ebf,1,0,2777.1685359984986,2777.1685359984986,2777.1685359984986,2777.1685359984986,16.0,0.008444178649932847,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
GET,/result/0236b169-94a3-4f11-8104-81ff4fb396e2,1,0,3749.7128659997543,3749.7128659997543,3749.7128659997543,3749.7128659997543,122.0,0.008444178649932847,0.0,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700
GET,/result/027cea08-1569-472f-8a8f-1446c221731c,1,0,121.37605099997018,121.37605099997018,121.37605099997018,121.37605099997018,16.0,0.008444178649932847,0.0,120,120,120,120,120,120,120,120,120,120,120
