Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/result/00676957-fcd4-476d-9ddf-3876bd077720,1,0,1491.826568999386,1491.826568999386,1491.826568999386,1491.826568999386,94.0,0.008347607108252041,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/result/007b7ddd-1032-45a3-ad66-2be392738761,1,0,674.960333002673,674.960333002673,674.960333002673,674.960333002673,161.0,0.008347607108252041,0.0,670,670,670,670,670,670,670,670,670,670,670
GET,/result/00b621ff-05fa-4a3b-864b-477b1047baa6,1,0,2325.2409669985354,2325.2409669985354,2325.2409669985354,2325.2409669985354,16.0,0.008347607108252041,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/result/010a2680-3285-4837-9f70-c5f313f4298c,1,0,812.004811999941,812.004811999941,812.004811999941,812.004811999941,16.0,0.008347607108252041,0.0,810,810,810,810,810,810,810,810,810,810,810
GET,/result/021841a6-6099-4aad-bad9-2480d68b10e2,1,0,1615.0847419994534,1615.0847419994534,1615.0847419994534,1615.0847419994534,16.0,0.008347607108252041,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/result/026ec633-816c-4205-a94f-6973591c4636,1,0,2628.1646639981773,2628.1646639981773,2628.1646639981773,2628.1646639981773,161.0,0.008347607108252041,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/result/03fb871d-bbd0-4653-a499-8f9ef27f0305,1,0,316.1625600005209,316.1625600005209,316.1625600005209,316.1625600005209,20.0,0.008347607108252041,0.0,320,320,320,320,320,320,320,320,320,320,320
GET,/result/040a1c29-5584-486e-8f3f-11c02b0a8cfa,1,0,1162.3743130003277,1162.3743130003277,1162.3743130003277,1162.3743130003277,16.0,0.008347607108252041,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/result/0504920f-4661-44a1-9645-4339eb2af78f,1,0,3460.90089000063,3460.90089000063,3460.90089000063,3460.90089000063,16.0,0.008347607108252041,0.0,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
GET,/result/057f102f-f5ff-43e6-a926-88893e61c807,1,0,184.1886180009169,184.1886180009169,184.1886180009169,184.1886180009169,16.0,0.008347607108252041,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/result/05c80c37-bd52-44d8-8f19-bf458d9e5154,1,0,567.9739699990023,567.9739699990023,567.9739699990023,567.9739699990023,16.0,0.008347607108252041,0.0,570,570,570,570,570,570,570,570,570,570,570
GET,/result/05e93166-4bec-40df-a1b0-081eaa79c2a7,1,0,718.0976780000492,718.0976780000492,718.0976780000492,718.0976780000492,20.0,0.008347607108252041,0.0,720,720,720,720,720,720,720,720,720,720,720
GET,/result/075b4d4f-ab5e-4d91-9162-b93de9d23db8,1,0,29.798273997585056,29.798273997585056,29.798273997585056,29.798273997585056,16.0,0.008347607108252041,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/result/080498c1-006b-4f29-86d9-f45d30ecda5e,1,0,801.8809790009982,801.8809790009982,801.8809790009982,801.8809790009982,20.0,0.008347607108252041,0.0,800,800,800,800,800,800,800,800,800,800,800
GET,/result/08293e3d-0613-4760-a414-a0cc2fa7f55f,1,0,84.08147600130178,84.08147600130178,84.08147600130178,84.08147600130178,16.0,0.008347607108252041,0.0,84,84,84,84,84,84,84,84,84,84,84
GET,/result/08a41f23-b380-40c9-9394-73367ce0730a,1,0,152.86446800018894,152.86446800018894,152.86446800018894,152.86446800018894,16.0,0.008347607108252041,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/result/08ec339d-f03f-41b0-9989-f3c0050869db,1,0,68.31653799963533,68.31653799963533,68.31653799963533,68.31653799963533,16.0,0.008347607108252041,0.0,68,68,68,68,68,68,68,68,68,68,68
